SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:4D,2020-07-26 16:47:13.283344,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-88
1,DC:A6:32:33:AD:4D,2020-07-26 16:47:15.293190,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-92
2,DC:A6:32:33:AD:4D,2020-07-26 16:47:16.273537,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-93
3,DC:A6:32:33:AD:4D,2020-07-26 16:47:17.100859,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-89
4,DC:A6:32:33:AD:4D,2020-07-26 16:47:18.278153,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-89
5,DC:A6:32:33:AD:4D,2020-07-26 16:47:19.531899,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-90
6,DC:A6:32:33:AD:4D,2020-07-26 16:47:20.387999,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-87
7,DC:A6:32:33:AD:4D,2020-07-26 16:47:22.020358,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-89
8,DC:A6:32:33:AD:4D,2020-07-26 16:47:23.111708,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-83
9,DC:A6:32:33:AD:4D,2020-07-26 16:47:25.116486,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-83
10,DC:A6:32:33:AD:4D,2020-07-26 16:47:26.493249,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-82
11,DC:A6:32:33:AD:4D,2020-07-26 16:47:27.347612,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-83
12,DC:A6:32:33:AD:4D,2020-07-26 16:47:29.352773,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-84
13,DC:A6:32:33:AD:4D,2020-07-26 16:47:30.180140,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-81
14,DC:A6:32:33:AD:4D,2020-07-26 16:47:31.450176,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-82
15,DC:A6:32:33:AD:4D,2020-07-26 16:47:32.552769,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-82
16,DC:A6:32:33:AD:4D,2020-07-26 16:47:33.167793,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-76
17,DC:A6:32:33:AD:4D,2020-07-26 16:47:34.409244,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-83
18,DC:A6:32:33:AD:4D,2020-07-26 16:47:35.534279,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-84
19,DC:A6:32:33:AD:4D,2020-07-26 16:47:36.049229,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-76
20,DC:A6:32:33:AD:4D,2020-07-26 16:47:37.213095,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-83
21,DC:A6:32:33:AD:4D,2020-07-26 16:47:38.111936,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-77
22,DC:A6:32:33:AD:4D,2020-07-26 16:47:39.148298,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-76
23,DC:A6:32:33:AD:4D,2020-07-26 16:47:40.513487,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-86
24,DC:A6:32:33:AD:4D,2020-07-26 16:47:41.014146,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-78
25,DC:A6:32:33:AD:4D,2020-07-26 16:47:42.440647,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-85
26,DC:A6:32:33:AD:4D,2020-07-26 16:47:43.263236,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-86
27,DC:A6:32:33:AD:4D,2020-07-26 16:47:44.357133,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-85
28,DC:A6:32:33:AD:4D,2020-07-26 16:47:45.183063,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-85
29,DC:A6:32:33:AD:4D,2020-07-26 16:47:46.256204,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-79
30,DC:A6:32:33:AD:4D,2020-07-26 16:47:47.923418,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-86
31,DC:A6:32:33:AD:4D,2020-07-26 16:47:48.037219,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-87
32,DC:A6:32:33:AD:4D,2020-07-26 16:47:49.468676,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-86
33,DC:A6:32:33:AD:4D,2020-07-26 16:47:50.080090,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-85
34,DC:A6:32:33:AD:4D,2020-07-26 16:47:51.501574,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-85
35,DC:A6:32:33:AD:4D,2020-07-26 16:47:52.324833,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-79
36,DC:A6:32:33:AD:4D,2020-07-26 16:47:54.329110,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-86
37,DC:A6:32:33:AD:4D,2020-07-26 16:47:55.796236,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-85
38,DC:A6:32:33:AD:4D,2020-07-26 16:47:56.017500,2b6eb3a2-cf81-11ea-b23c-dca63233ad4b,1,1,1,-85
