SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:4D,2020-07-26 15:33:34.306219,e2339608-cf76-11ea-b62a-dca63233ad4b,1,1,1,-82
1,DC:A6:32:33:AD:4D,2020-07-26 15:33:35.201811,e2339608-cf76-11ea-b62a-dca63233ad4b,1,1,1,-76
2,DC:A6:32:33:AD:4D,2020-07-26 15:33:36.031104,e2339608-cf76-11ea-b62a-dca63233ad4b,1,1,1,-76
3,DC:A6:32:33:AD:4D,2020-07-26 15:33:37.181834,e2339608-cf76-11ea-b62a-dca63233ad4b,1,1,1,-81
4,DC:A6:32:33:AD:4D,2020-07-26 15:33:38.330494,e2339608-cf76-11ea-b62a-dca63233ad4b,1,1,1,-80
5,DC:A6:32:33:AD:4D,2020-07-26 15:33:39.104252,e2339608-cf76-11ea-b62a-dca63233ad4b,1,1,1,-81
6,DC:A6:32:33:AD:4D,2020-07-26 15:33:40.036077,e2339608-cf76-11ea-b62a-dca63233ad4b,1,1,1,-82
7,DC:A6:32:33:AD:4D,2020-07-26 15:33:41.856086,e2339608-cf76-11ea-b62a-dca63233ad4b,1,1,1,-75
8,DC:A6:32:33:AD:4D,2020-07-26 15:33:42.065441,e2339608-cf76-11ea-b62a-dca63233ad4b,1,1,1,-81
9,DC:A6:32:33:AD:4D,2020-07-26 15:33:44.070476,e2339608-cf76-11ea-b62a-dca63233ad4b,1,1,1,-80
10,DC:A6:32:33:AD:4D,2020-07-26 15:33:45.685567,e2339608-cf76-11ea-b62a-dca63233ad4b,1,1,1,-81
11,DC:A6:32:33:AD:4D,2020-07-26 15:33:46.053039,e2339608-cf76-11ea-b62a-dca63233ad4b,1,1,1,-81
12,DC:A6:32:33:AD:4D,2020-07-26 15:33:47.088033,e2339608-cf76-11ea-b62a-dca63233ad4b,1,1,1,-81
13,DC:A6:32:33:AD:4D,2020-07-26 15:33:48.689255,e2339608-cf76-11ea-b62a-dca63233ad4b,1,1,1,-81
14,DC:A6:32:33:AD:4D,2020-07-26 15:33:49.224853,e2339608-cf76-11ea-b62a-dca63233ad4b,1,1,1,-75
15,DC:A6:32:33:AD:4D,2020-07-26 15:33:50.108625,e2339608-cf76-11ea-b62a-dca63233ad4b,1,1,1,-76
16,DC:A6:32:33:AD:4D,2020-07-26 15:33:51.179288,e2339608-cf76-11ea-b62a-dca63233ad4b,1,1,1,-81
17,DC:A6:32:33:AD:4D,2020-07-26 15:33:52.036197,e2339608-cf76-11ea-b62a-dca63233ad4b,1,1,1,-81
