SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:4D,2020-07-26 14:06:32.435084,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-82
1,DC:A6:32:33:AD:4D,2020-07-26 14:06:34.009190,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-82
2,DC:A6:32:33:AD:4D,2020-07-26 14:06:35.375420,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-81
3,DC:A6:32:33:AD:4D,2020-07-26 14:06:36.192876,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-82
4,DC:A6:32:33:AD:4D,2020-07-26 14:06:37.823017,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-82
5,DC:A6:32:33:AD:4D,2020-07-26 14:06:38.009734,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-81
6,DC:A6:32:33:AD:4D,2020-07-26 14:06:39.164152,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-82
7,DC:A6:32:33:AD:4D,2020-07-26 14:06:40.522928,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-81
8,DC:A6:32:33:AD:4D,2020-07-26 14:06:41.799152,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-97
9,DC:A6:32:33:AD:4D,2020-07-26 14:06:42.115501,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-82
10,DC:A6:32:33:AD:4D,2020-07-26 14:06:44.120487,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-81
11,DC:A6:32:33:AD:4D,2020-07-26 14:06:45.094157,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-82
12,DC:A6:32:33:AD:4D,2020-07-26 14:06:46.206654,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-97
13,DC:A6:32:33:AD:4D,2020-07-26 14:06:47.054151,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-82
14,DC:A6:32:33:AD:4D,2020-07-26 14:06:48.818521,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-81
15,DC:A6:32:33:AD:4D,2020-07-26 14:06:49.075411,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-99
16,DC:A6:32:33:AD:4D,2020-07-26 14:06:51.080512,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-81
17,DC:A6:32:33:AD:4D,2020-07-26 14:06:52.746882,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-94
18,DC:A6:32:33:AD:4D,2020-07-26 14:06:53.122995,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-98
19,DC:A6:32:33:AD:4D,2020-07-26 14:06:55.127961,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-94
20,DC:A6:32:33:AD:4D,2020-07-26 14:06:57.133037,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-98
21,DC:A6:32:33:AD:4D,2020-07-26 14:06:58.097967,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-81
22,DC:A6:32:33:AD:4D,2020-07-26 14:06:59.679278,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-81
23,DC:A6:32:33:AD:4D,2020-07-26 14:07:00.086691,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-81
24,DC:A6:32:33:AD:4D,2020-07-26 14:07:01.052963,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-97
25,DC:A6:32:33:AD:4D,2020-07-26 14:07:02.265555,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-96
26,DC:A6:32:33:AD:4D,2020-07-26 14:07:03.537987,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-96
27,DC:A6:32:33:AD:4D,2020-07-26 14:07:04.095462,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-96
28,DC:A6:32:33:AD:4D,2020-07-26 14:07:06.071810,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-81
29,DC:A6:32:33:AD:4D,2020-07-26 14:07:08.137635,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-81
30,DC:A6:32:33:AD:4D,2020-07-26 14:07:10.143080,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-81
31,DC:A6:32:33:AD:4D,2020-07-26 14:07:12.148056,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-81
32,DC:A6:32:33:AD:4D,2020-07-26 14:07:13.698084,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-81
33,DC:A6:32:33:AD:4D,2020-07-26 14:07:14.444310,ba4f640c-cf6a-11ea-b3c3-dca63233ad4b,1,1,1,-80
