SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:4D,2020-07-25 21:58:46.060732,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-73
1,DC:A6:32:33:AD:4D,2020-07-25 21:58:47.700682,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-71
2,DC:A6:32:33:AD:4D,2020-07-25 21:58:48.524439,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-73
3,DC:A6:32:33:AD:4D,2020-07-25 21:58:49.071898,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-73
4,DC:A6:32:33:AD:4D,2020-07-25 21:58:50.019480,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-80
5,DC:A6:32:33:AD:4D,2020-07-25 21:58:52.024572,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-78
6,DC:A6:32:33:AD:4D,2020-07-25 21:58:53.186378,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-80
7,DC:A6:32:33:AD:4D,2020-07-25 21:58:54.014507,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-72
8,DC:A6:32:33:AD:4D,2020-07-25 21:58:55.108903,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-73
9,DC:A6:32:33:AD:4D,2020-07-25 21:58:56.165810,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-79
10,DC:A6:32:33:AD:4D,2020-07-25 21:58:57.105654,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-80
11,DC:A6:32:33:AD:4D,2020-07-25 21:58:58.954689,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-71
12,DC:A6:32:33:AD:4D,2020-07-25 21:58:59.005865,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-71
13,DC:A6:32:33:AD:4D,2020-07-25 21:59:01.010961,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-71
14,DC:A6:32:33:AD:4D,2020-07-25 21:59:02.536679,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-83
15,DC:A6:32:33:AD:4D,2020-07-25 21:59:03.037315,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-71
16,DC:A6:32:33:AD:4D,2020-07-25 21:59:05.042329,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-70
17,DC:A6:32:33:AD:4D,2020-07-25 21:59:06.377960,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-79
18,DC:A6:32:33:AD:4D,2020-07-25 21:59:07.087355,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-79
19,DC:A6:32:33:AD:4D,2020-07-25 21:59:08.014541,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-80
20,DC:A6:32:33:AD:4D,2020-07-25 21:59:09.388082,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-73
21,DC:A6:32:33:AD:4D,2020-07-25 21:59:10.046181,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-70
22,DC:A6:32:33:AD:4D,2020-07-25 21:59:11.129329,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-72
23,DC:A6:32:33:AD:4D,2020-07-25 21:59:13.137157,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-71
24,DC:A6:32:33:AD:4D,2020-07-25 21:59:15.142655,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-71
25,DC:A6:32:33:AD:4D,2020-07-25 21:59:17.147696,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-79
26,DC:A6:32:33:AD:4D,2020-07-25 21:59:19.152799,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-73
27,DC:A6:32:33:AD:4D,2020-07-25 21:59:20.002844,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-72
28,DC:A6:32:33:AD:4D,2020-07-25 21:59:21.246597,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-70
29,DC:A6:32:33:AD:4D,2020-07-25 21:59:22.288583,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-72
30,DC:A6:32:33:AD:4D,2020-07-25 21:59:23.665415,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-73
31,DC:A6:32:33:AD:4D,2020-07-25 21:59:24.217145,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-70
32,DC:A6:32:33:AD:4D,2020-07-25 21:59:25.498060,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-71
33,DC:A6:32:33:AD:4D,2020-07-25 21:59:26.317998,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-80
34,DC:A6:32:33:AD:4D,2020-07-25 21:59:28.165576,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-71
35,DC:A6:32:33:AD:4D,2020-07-25 21:59:30.047097,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-71
36,DC:A6:32:33:AD:4D,2020-07-25 21:59:31.146983,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-72
37,DC:A6:32:33:AD:4D,2020-07-25 21:59:32.515718,85ef832c-cee3-11ea-9082-dca63233ad4b,1,1,1,-73
