SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:4D,2020-07-25 17:22:06.279997,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-91
1,DC:A6:32:33:AD:4D,2020-07-25 17:22:07.233060,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-90
2,DC:A6:32:33:AD:4D,2020-07-25 17:22:08.062942,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-91
3,DC:A6:32:33:AD:4D,2020-07-25 17:22:09.030109,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-89
4,DC:A6:32:33:AD:4D,2020-07-25 17:22:10.391280,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-98
5,DC:A6:32:33:AD:4D,2020-07-25 17:22:11.750579,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-90
6,DC:A6:32:33:AD:4D,2020-07-25 17:22:13.072387,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-89
7,DC:A6:32:33:AD:4D,2020-07-25 17:22:14.681211,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-88
8,DC:A6:32:33:AD:4D,2020-07-25 17:22:15.296801,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-88
9,DC:A6:32:33:AD:4D,2020-07-25 17:22:16.122543,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-88
10,DC:A6:32:33:AD:4D,2020-07-25 17:22:17.451864,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-97
11,DC:A6:32:33:AD:4D,2020-07-25 17:22:18.133749,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-90
12,DC:A6:32:33:AD:4D,2020-07-25 17:22:19.012513,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-90
13,DC:A6:32:33:AD:4D,2020-07-25 17:22:21.016365,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-89
14,DC:A6:32:33:AD:4D,2020-07-25 17:22:22.081341,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-90
15,DC:A6:32:33:AD:4D,2020-07-25 17:22:23.440280,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-90
16,DC:A6:32:33:AD:4D,2020-07-25 17:22:24.566412,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-89
17,DC:A6:32:33:AD:4D,2020-07-25 17:22:25.420138,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-91
18,DC:A6:32:33:AD:4D,2020-07-25 17:22:27.425195,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-91
19,DC:A6:32:33:AD:4D,2020-07-25 17:22:28.137050,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-90
20,DC:A6:32:33:AD:4D,2020-07-25 17:22:29.140228,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-89
21,DC:A6:32:33:AD:4D,2020-07-25 17:22:30.061598,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-90
22,DC:A6:32:33:AD:4D,2020-07-25 17:22:31.392784,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-90
23,DC:A6:32:33:AD:4D,2020-07-25 17:22:32.669053,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-91
24,DC:A6:32:33:AD:4D,2020-07-25 17:22:33.084049,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-90
25,DC:A6:32:33:AD:4D,2020-07-25 17:22:34.185317,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-90
26,DC:A6:32:33:AD:4D,2020-07-25 17:22:36.190490,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-89
27,DC:A6:32:33:AD:4D,2020-07-25 17:22:38.056643,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-89
28,DC:A6:32:33:AD:4D,2020-07-25 17:22:40.061806,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-90
29,DC:A6:32:33:AD:4D,2020-07-25 17:22:41.101765,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-90
30,DC:A6:32:33:AD:4D,2020-07-25 17:22:42.474258,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-90
31,DC:A6:32:33:AD:4D,2020-07-25 17:22:43.023261,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-91
32,DC:A6:32:33:AD:4D,2020-07-25 17:22:45.028220,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-90
33,DC:A6:32:33:AD:4D,2020-07-25 17:22:46.483184,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-90
34,DC:A6:32:33:AD:4D,2020-07-25 17:22:47.573140,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-90
35,DC:A6:32:33:AD:4D,2020-07-25 17:22:48.034590,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-90
36,DC:A6:32:33:AD:4D,2020-07-25 17:22:49.074495,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-90
37,DC:A6:32:33:AD:4D,2020-07-25 17:22:50.175814,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-90
38,DC:A6:32:33:AD:4D,2020-07-25 17:22:51.007087,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-91
39,DC:A6:32:33:AD:4D,2020-07-25 17:22:52.386969,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-91
40,DC:A6:32:33:AD:4D,2020-07-25 17:22:54.035736,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-90
41,DC:A6:32:33:AD:4D,2020-07-25 17:22:55.252005,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-91
42,DC:A6:32:33:AD:4D,2020-07-25 17:22:57.152095,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-89
43,DC:A6:32:33:AD:4D,2020-07-25 17:22:58.547129,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-88
44,DC:A6:32:33:AD:4D,2020-07-25 17:22:59.013312,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-88
45,DC:A6:32:33:AD:4D,2020-07-25 17:23:00.132130,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-89
46,DC:A6:32:33:AD:4D,2020-07-25 17:23:01.013349,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-89
47,DC:A6:32:33:AD:4D,2020-07-25 17:23:02.028397,dcb2ce3e-cebc-11ea-a1ef-dca63233ad4b,1,1,1,-91
