,RSSI,Distance,Object
0,-81,10,Nothing
1,-81,10,Nothing
2,-81,10,Nothing
3,-81,10,Nothing
4,-76,10,Nothing
5,-80,10,Nothing
6,-80,10,Nothing
7,-83,10,Nothing
8,-79,10,Nothing
9,-82,10,Nothing
10,-76,10,Nothing
11,-82,10,Nothing
12,-80,10,Nothing
13,-80,10,Nothing
14,-76,10,Nothing
15,-76,10,Nothing
16,-81,10,Nothing
17,-83,10,Nothing
18,-80,10,Nothing
19,-76,10,Nothing
20,-80,10,Nothing
21,-80,10,Nothing
22,-80,10,Nothing
23,-76,10,Nothing
24,-83,10,Nothing
25,-76,10,Nothing
26,-82,10,Nothing
27,-76,10,Nothing
28,-80,10,Nothing
29,-81,10,Nothing
30,-80,10,Nothing
31,-77,10,Nothing
32,-80,10,Nothing
33,-81,10,Nothing
34,-80,10,Nothing
35,-80,10,Nothing
36,-80,10,Nothing
37,-80,10,Nothing
38,-80,10,Nothing
39,-76,10,Nothing
40,-76,10,Nothing
41,-76,10,Nothing
42,-80,10,Nothing
43,-80,10,Nothing
44,-77,10,Nothing
45,-80,10,Nothing
46,-76,10,Nothing
47,-80,10,Nothing
48,-80,10,Nothing
49,-76,10,Nothing
50,-83,10,Nothing
51,-81,10,Nothing
52,-76,10,Nothing
53,-80,10,Nothing
54,-80,10,Nothing
55,-80,10,Nothing
56,-83,10,Nothing
57,-80,10,Nothing
58,-83,10,Nothing
59,-81,10,Nothing
60,-80,10,Nothing
61,-80,10,Nothing
62,-76,10,Nothing
63,-80,10,Nothing
64,-80,10,Nothing
65,-76,10,Nothing
66,-81,10,Nothing
67,-83,10,Nothing
68,-80,10,Nothing
69,-81,10,Nothing
70,-76,10,Nothing
71,-82,10,Nothing
72,-80,10,Nothing
73,-80,10,Nothing
74,-83,10,Nothing
75,-81,10,Nothing
76,-80,10,Nothing
77,-80,10,Nothing
78,-76,10,Nothing
79,-80,10,Nothing
80,-83,10,Nothing
81,-80,10,Nothing
82,-76,10,Nothing
83,-80,10,Nothing
84,-80,10,Nothing
85,-80,10,Nothing
86,-76,10,Nothing
87,-76,10,Nothing
88,-80,10,Nothing
89,-82,10,Nothing
90,-76,10,Nothing
91,-76,10,Nothing
92,-76,10,Nothing
93,-80,10,Nothing
94,-83,10,Nothing
95,-80,10,Nothing
